Observable,Value,ID,Time
Act. receptor conc. Amount 1,2.733166350170526,107,20
Act. receptor conc. Amount 1,2.9864453969017917,108,25
Act. receptor conc. Amount 1,0.4796621887394884,109,1
Act. receptor conc. Amount 1,1.5619287128488926,110,5
Act. receptor conc. Amount 1,2.4099265815206032,111,10
Act. receptor conc. Amount 1,2.6522834971908793,112,15
Act. receptor conc. Amount 1,2.875842786647356,113,20
Act. receptor conc. Amount 1,2.6837637237971723,114,25
Act. receptor conc. Amount 1,0.4306404808718222,115,1
Act. receptor conc. Amount 1,1.6361720012291485,116,5
Act. receptor conc. Amount 1,2.4238369225284093,117,10
Act. receptor conc. Amount 1,2.72605053861558,118,15
Act. receptor conc. Amount 1,2.7988876384878374,119,20
Act. receptor conc. Amount 1,2.6972193901694976,120,25
Act. receptor conc. Amount 1,0.39846072951402284,121,1
Act. receptor conc. Amount 1,1.5226077847008441,122,5
Act. receptor conc. Amount 1,2.4954373461753994,123,10
Act. receptor conc. Amount 1,2.549448274620338,124,15
Act. receptor conc. Amount 1,2.652714846745034,125,20
Act. receptor conc. Amount 1,2.5735208410248593,126,25
Act. receptor conc. Amount 1,0.452882704665652,127,1
Act. receptor conc. Amount 1,1.5471843476641884,128,5
Act. receptor conc. Amount 1,2.3834337339697895,129,10
Act. receptor conc. Amount 1,2.5415385219980644,130,15
Act. receptor conc. Amount 1,2.5748169142341073,131,20
Act. receptor conc. Amount 1,2.585435209291488,132,25
Act. receptor conc. Amount 1,0.432879801895105,133,1
Act. receptor conc. Amount 1,1.7163062530952644,134,5
Act. receptor conc. Amount 1,2.2090841325110557,135,10
Act. receptor conc. Amount 1,2.6085965731957006,136,15
Act. receptor conc. Amount 1,2.6104366073693597,137,20
Act. receptor conc. Amount 1,2.5785129274002117,138,25
Act. receptor conc. Amount 1,0.448607728448433,139,1
Act. receptor conc. Amount 1,1.643914827340226,140,5
Act. receptor conc. Amount 1,2.1066425377339213,141,10
Act. receptor conc. Amount 1,2.6040818980174567,142,15
Act. receptor conc. Amount 1,2.51724762286128,143,20
Act. receptor conc. Amount 1,3.001347090167723,144,25
Act. receptor conc. Amount 1,0.40732701131525306,145,1
Act. receptor conc. Amount 1,1.757540515192272,146,5
Act. receptor conc. Amount 1,2.3983146698670432,147,10
Act. receptor conc. Amount 1,2.4353180423897323,148,15
Act. receptor conc. Amount 1,2.633975465248154,149,20
Act. receptor conc. Amount 1,2.513208958643149,150,25
Act. receptor conc. Amount 1,0.4432261433735651,151,1
Act. receptor conc. Amount 1,1.6066360771694503,152,5
Act. receptor conc. Amount 1,2.233886970642183,153,10
Act. receptor conc. Amount 1,2.5328893769271335,154,15
Act. receptor conc. Amount 1,2.5129798822582385,155,20
Act. receptor conc. Amount 1,2.5999906531147663,156,25
Act. receptor conc. Amount 1,0.43899381036934737,157,1
Act. receptor conc. Amount 1,1.7463412499232358,158,5
Act. receptor conc. Amount 1,2.334357011746566,159,10
Act. receptor conc. Amount 1,2.8349163922899105,160,15
Act. receptor conc. Amount 1,2.7631643895301106,161,20
Act. receptor conc. Amount 1,3.076475058344669,162,25
Act. receptor conc. Amount 1,0.41495714971781955,163,1
Act. receptor conc. Amount 1,1.5796710941136474,164,5
Act. receptor conc. Amount 1,2.152209234986818,165,10
Act. receptor conc. Amount 1,2.392700658190517,166,15
Act. receptor conc. Amount 1,2.6478224191327215,167,20
Act. receptor conc. Amount 1,2.6026645604672276,168,25
Act. receptor conc. Amount 1,0.41459973118702176,169,1
Act. receptor conc. Amount 1,1.4826280734515767,170,5
Act. receptor conc. Amount 1,2.3377280480581697,171,10
Act. receptor conc. Amount 1,2.7780268365773053,172,15
Act. receptor conc. Amount 1,2.482401297747419,173,20
Act. receptor conc. Amount 1,2.730972089808171,174,25
Act. receptor conc. Amount 1,0.420663590893367,175,1
Act. receptor conc. Amount 1,1.5041897664272332,176,5
Act. receptor conc. Amount 1,2.2769014124949276,177,10
Act. receptor conc. Amount 1,2.7827502483184734,178,15
Act. receptor conc. Amount 1,3.140430538839511,179,20
Act. receptor conc. Amount 1,3.0902696622295056,180,25
Act. receptor conc. Amount 1,0.4572226740392199,181,1
Act. receptor conc. Amount 1,1.4662865231735582,182,5
Act. receptor conc. Amount 1,2.237207961329249,183,10
Act. receptor conc. Amount 1,2.5839059392107897,184,15
Act. receptor conc. Amount 1,2.720949363464578,185,20
Act. receptor conc. Amount 1,2.653822889875902,186,25
Act. receptor conc. Amount 1,0.443001313578534,187,1
Act. receptor conc. Amount 1,1.5218261033930214,188,5
Act. receptor conc. Amount 1,2.6165501646130167,189,10
Act. receptor conc. Amount 1,2.402609820444309,190,15
Act. receptor conc. Amount 1,2.7008341940798424,191,20
Act. receptor conc. Amount 1,2.6745162185144724,192,25
Act. receptor conc. Amount 1,0.4567058731741618,193,1
Act. receptor conc. Amount 1,1.628089181040368,194,5
Act. receptor conc. Amount 1,2.552623731057191,195,10
Act. receptor conc. Amount 1,2.681356751759545,196,15
Act. receptor conc. Amount 1,2.714557008965889,197,20
Act. receptor conc. Amount 1,2.7966720930229783,198,25
Act. receptor conc. Amount 1,0.42733167603172717,199,1
Act. receptor conc. Amount 1,1.5117265925229855,200,5
Act. receptor conc. Amount 1,2.435692290961431,201,10
Act. receptor conc. Amount 1,2.6288084203106514,202,15
Act. receptor conc. Amount 1,2.7521756816732874,203,20
Act. receptor conc. Amount 1,2.804841719203838,204,25
Act. receptor conc. Amount 1,0.4218476907302025,205,1
Act. receptor conc. Amount 1,1.8461851413283206,206,5
Act. receptor conc. Amount 1,2.189420759724007,207,10
Act. receptor conc. Amount 1,2.6334628919650065,208,15
Act. receptor conc. Amount 1,2.9049973217646534,209,20
Act. receptor conc. Amount 1,2.703672247125213,210,25
Act. receptor conc. Amount 1,0.42301000178055564,211,1
Act. receptor conc. Amount 1,1.8840538039539483,212,5
Act. receptor conc. Amount 1,2.365579803332762,213,10
Act. receptor conc. Amount 1,2.7750233395359976,214,15
Act. receptor conc. Amount 1,2.9274937059796566,215,20
Act. receptor conc. Amount 1,2.6102148859596896,216,25
Act. receptor conc. Amount 1,0.4446012674065578,217,1
Act. receptor conc. Amount 1,1.6713619590133921,218,5
Act. receptor conc. Amount 1,2.235203934536527,219,10
Act. receptor conc. Amount 1,2.5882374774542685,220,15
Act. receptor conc. Amount 1,2.8580464158093535,221,20
Act. receptor conc. Amount 1,2.8415681547613967,222,25
Act. receptor conc. Amount 1,0.4546396841307986,223,1
Act. receptor conc. Amount 1,1.583728781515853,224,5
Act. receptor conc. Amount 1,2.3561292460769288,225,10
Act. receptor conc. Amount 1,2.695687353036945,226,15
Act. receptor conc. Amount 1,2.7721452780672715,227,20
Act. receptor conc. Amount 1,2.6962328973637124,228,25
Act. receptor conc. Amount 1,0.43077261712672266,229,1
Act. receptor conc. Amount 1,1.697122824235354,230,5
Act. receptor conc. Amount 1,2.2478676305660206,231,10
Act. receptor conc. Amount 1,2.6789341422697066,232,15
Act. receptor conc. Amount 1,2.7822284858660127,233,20
Act. receptor conc. Amount 1,2.6461372502845335,234,25
Act. receptor conc. Amount 1,0.420935837954399,235,1
Act. receptor conc. Amount 1,1.6334739650766994,236,5
Act. receptor conc. Amount 1,2.150516470221668,237,10
Act. receptor conc. Amount 1,2.751167236820292,238,15
Act. receptor conc. Amount 1,2.813711988771045,239,20
Act. receptor conc. Amount 1,2.7975800787010967,240,25
Act. receptor conc. Amount 1,0.4174321702567691,241,1
Act. receptor conc. Amount 1,1.5109492213137907,242,5
Act. receptor conc. Amount 1,2.4147384703288877,243,10
Act. receptor conc. Amount 1,2.90718870766727,244,15
Act. receptor conc. Amount 1,2.6142582057671806,245,20
Act. receptor conc. Amount 1,2.672064489841393,246,25
Act. receptor conc. Amount 1,0.4139034212797526,247,1
Act. receptor conc. Amount 1,1.6031764198072578,248,5
Act. receptor conc. Amount 1,2.361364499640096,249,10
Act. receptor conc. Amount 1,2.572212853195444,250,15
Act. receptor conc. Amount 1,2.768899377387715,251,20
Act. receptor conc. Amount 1,2.641151871361572,252,25
Act. receptor conc. Amount 1,0.4017060401692866,253,1
Act. receptor conc. Amount 1,1.5019105660779122,254,5
Act. receptor conc. Amount 1,2.347888318521407,255,10
Act. receptor conc. Amount 1,2.677097925075886,256,15
Act. receptor conc. Amount 1,2.7630834168009226,257,20
Act. receptor conc. Amount 1,2.906774709342118,258,25
Act. receptor conc. Amount 1,0.43327633115690684,259,1
Act. receptor conc. Amount 1,1.6573506644455707,260,5
Act. receptor conc. Amount 1,2.235788643397139,261,10
Act. receptor conc. Amount 1,2.478168163741507,262,15
Act. receptor conc. Amount 1,2.595350786085147,263,20
Act. receptor conc. Amount 1,2.592706938887884,264,25
Act. receptor conc. Amount 1,0.4549003713170807,265,1
Act. receptor conc. Amount 1,1.6159302101540174,266,5
Act. receptor conc. Amount 1,2.518857166835891,267,10
Act. receptor conc. Amount 1,2.540818837156319,268,15
Act. receptor conc. Amount 1,2.613332327326229,269,20
Act. receptor conc. Amount 1,2.553895798405939,270,25
Act. receptor conc. Amount 1,0.39323697669663976,271,1
Act. receptor conc. Amount 1,1.6483784342470498,272,5
Act. receptor conc. Amount 1,2.3892004693218607,273,10
Act. receptor conc. Amount 1,2.448515618965165,274,15
Act. receptor conc. Amount 1,2.6091206801344695,275,20
